"","estimate","se","lcl","ucl","fixed","note"
"Phi gJ0-1 c2006.5 a0.5 t2006.5",0.8053255,0.0204033,0.7622106,0.8422411,"     ",""
"Phi gJ0-1 c2006.5 a1 t2007",0.9345586,0.0212368,0.8785027,0.9657596,"     ",""
"p gJ0-1 c2006.5 a1 t2007",0.1083699,0.027668,0.0648439,0.1756255,"     ",""
"p gJ0-1 c2006.5 a1.5 t2007.5",0.9371451,0.0180213,0.8911325,0.9644857,"     ",""
"p gJ0-1 c2006.5 a2 t2008",0.4281157,0.0497715,0.334481,0.5271984,"     ",""
"p gJ0-1 c2006.5 a2.5 t2008.5",0.8623528,0.0281571,0.797386,0.9088693,"     ",""
"p gJ0-1 c2006.5 a3 t2009",0.4340963,0.0495236,0.340675,0.5324474,"     ",""
"p gJ0-1 c2006.5 a3.5 t2009.5",0.8201177,0.0346732,0.7420173,0.8784476,"     ",""
"p gJ0-1 c2006.5 a4 t2010",0.4400961,0.0493148,0.3468237,0.5377993,"     ",""
"p gJ0-1 c2006.5 a4.5 t2010.5",0.7684037,0.0414934,0.6775034,0.8397431,"     ",""
"p gJ0-1 c2006.5 a5 t2011",0.4461134,0.0491469,0.3529205,0.5432548,"     ",""
"p gJ0-1 c2006.5 a5.5 t2011.5",0.7071317,0.0479647,0.6052879,0.7917392,"     ",""
"p gJ0-1 c2006.5 a6 t2012",0.4521466,0.0490215,0.3589595,0.5488141,"     ",""
"p gJ0-1 c2006.5 a6.5 t2012.5",0.6373009,0.0532496,0.5280067,0.7340352,"     ",""
"p gJ0-1 c2006.5 a7 t2013",0.4581939,0.0489401,0.3649351,0.5544769,"     ",""
"p gJ0-1 c2006.5 a7.5 t2013.5",0.561153,0.0565069,0.4492012,0.667208,"     ",""
"p gJ0-1 c2006.5 a8 t2014",0.4642535,0.0489038,0.3708421,0.5602422,"     ",""
"p gJ0-1 c2006.5 a8.5 t2014.5",0.4820121,0.057146,0.3727148,0.5930582,"     ",""
"p gJ0-1 c2006.5 a9 t2015",0.4703237,0.0489133,0.376676,0.5661085,"     ",""
"p gJ0-1 c2006.5 a9.5 t2015.5",0.4037634,0.0550408,0.3019712,0.5145739,"     ",""
"p gJ0-1 c2006.5 a10 t2016",0.4764027,0.0489693,0.3824327,0.5720736,"     ",""
"p gJ0-1 c2006.5 a10.5 t2016.5",0.3301219,0.0505793,0.2394088,0.4355249,"     ",""
"p gJ0-1 c2006.5 a11 t2017",0.4824887,0.0490718,0.3881086,0.5781348,"     ",""
"p gJ0-1 c2006.5 a11.5 t2017.5",0.2639653,0.0445188,0.1862487,0.3597735,"     ",""
"p gJ0-1 c2006.5 a12 t2018",0.4885798,0.0492208,0.3937011,0.5842887,"     ",""
"p gJ0-1 c2006.5 a12.5 t2018.5",0.2069703,0.0377326,0.142599,0.2905527,"     ",""
"p gJ0-1 c2006.5 a13 t2019",0.4946744,0.0494159,0.3992077,0.5905311,"     ",""
"p gJ0-1 c2006.5 a13.5 t2019.5",0.1596129,0.0309814,0.1077618,0.2299822,"     ",""
"p gJ0-1 c2006.5 a14 t2020",0.5007706,0.0496562,0.4046268,0.5968574,"     ",""
"p gJ0-1 c2006.5 a14.5 t2020.5",0.1214323,0.0247909,0.080588,0.1789484,"     ",""
"p gJ0-1 c2006.5 a15 t2021",0.5068665,0.0499408,0.4099573,0.6032625,"     ",""
"p gJ0-1 c2006.5 a15.5 t2021.5",0.0913915,0.0194388,0.0597722,0.1372949,"     ",""
"p gJ0-1 c2006.5 a16 t2022",0.5129604,0.0502683,0.4151986,0.6097406,"     ",""
"p gJ0-1 c2006.5 a16.5 t2022.5",0.0682055,0.0150064,0.0440496,0.1041644,"     ",""
"p gJ0-1 c2006.5 a17 t2023",0.5190504,0.0506372,0.4203506,0.6162855,"     ",""
"p gJ0-1 c2007 a1.5 t2008",0.1107488,0.0280905,0.0664735,0.1788638,"     ",""
"p gJ0-1 c2007.5 a1.5 t2008.5",0.9156133,0.0235239,0.8566148,0.9517045,"     ",""
"p gJ0-1 c2008 a1.5 t2009",0.1131732,0.0285321,0.0681205,0.1821968,"     ",""
"p gJ0-1 c2008.5 a1.5 t2009.5",0.8875902,0.0302525,0.8133713,0.9346644,"     ",""
"p gJ0-1 c2009 a1.5 t2010",0.1156439,0.028994,0.0697841,0.1856272,"     ",""
"p gJ0-1 c2009.5 a1.5 t2010.5",0.8517677,0.0381573,0.7606406,0.9122059,"     ",""
"p gJ0-1 c2010 a1.5 t2011",0.1181613,0.029477,0.0714634,0.1891576,"     ",""
"p gJ0-1 c2010.5 a1.5 t2011.5",0.8070115,0.0469516,0.69843,0.8830445,"     ",""
"p gJ0-1 c2011 a1.5 t2012",0.120726,0.0299821,0.0731575,0.1927908,"     ",""
"p gJ0-1 c2011.5 a1.5 t2012.5",0.752666,0.0560288,0.6278438,0.8458982,"     ",""
"p gJ0-1 c2012 a1.5 t2013",0.1233385,0.0305103,0.0748654,0.1965293,"     ",""
"p gJ0-1 c2012.5 a1.5 t2013.5",0.688916,0.0644495,0.5512263,0.7997105,"     ",""
"p gJ0-1 c2013 a1.5 t2014",0.1259995,0.0310625,0.0765864,0.2003758,"     ",""
"p gJ0-1 c2013.5 a1.5 t2014.5",0.6170937,0.0710618,0.4719741,0.7439655,"     ",""
"p gJ0-1 c2014 a1.5 t2015",0.1287095,0.0316396,0.0783195,0.2043326,"     ",""
"p gJ0-1 c2014.5 a1.5 t2015.5",0.5397671,0.0747755,0.3939911,0.6790429,"     ",""
"p gJ0-1 c2015 a1.5 t2016",0.1314691,0.0322426,0.0800638,0.2084022,"     ",""
"p gJ0-1 c2015.5 a1.5 t2016.5",0.4604775,0.07491,0.3209504,0.6064863,"     ",""
"p gJ0-1 c2016 a1.5 t2017",0.1342786,0.0328723,0.0818186,0.212587,"     ",""
"p gJ0-1 c2016.5 a1.5 t2017.5",0.3831389,0.0714451,0.2556425,0.5290296,"     ",""
"p gJ0-1 c2017 a1.5 t2018",0.1371387,0.0335296,0.0835829,0.216889,"     ",""
"p gJ0-1 c2017.5 a1.5 t2018.5",0.3112951,0.0650274,0.1996369,0.4502703,"     ",""
"p gJ0-1 c2018 a1.5 t2019",0.1400499,0.0342154,0.085356,0.2213103,"     ",""
"p gJ0-1 c2018.5 a1.5 t2019.5",0.2475173,0.0567287,0.1533099,0.3740405,"     ",""
"p gJ0-1 c2019 a1.5 t2020",0.1430127,0.0349304,0.0871372,0.2258529,"     ",""
"p gJ0-1 c2019.5 a1.5 t2020.5",0.1931419,0.0477005,0.1161239,0.3036902,"     ",""
"p gJ0-1 c2020 a1.5 t2021",0.1460275,0.0356753,0.0889257,0.2305185,"     ",""
"p gJ0-1 c2020.5 a1.5 t2021.5",0.1483567,0.0388948,0.0869929,0.2415538,"     ",""
"p gJ0-1 c2021 a1.5 t2022",0.1490947,0.0364509,0.0907209,0.2353088,"     ",""
"p gJ0-1 c2021.5 a1.5 t2022.5",0.1125081,0.0309364,0.0646073,0.1887567,"     ",""
"p gJ0-1 c2022 a1.5 t2023",0.1522149,0.0372578,0.0925221,0.2402252,"     ",""
"p gS0-1 c2006.5 a1 t2007",0.1293798,0.027158,0.0847869,0.1924931,"     ",""
"p gS0-1 c2006.5 a1.5 t2007.5",0.7225186,0.0472549,0.6212866,0.8051762,"     ",""
"p gS0-1 c2006.5 a2 t2008",0.4678509,0.0338438,0.4024634,0.5343615,"     ",""
