"","ch","most_visited","current.age"
"02K","0000000000000000000000000000000010","S",0.435338902495551
"04K","0000000000000000000000000000000010","S",0.542115083193703
"06K","0000000000000000000000000000000011","T",0.449028156431211
"09K","0000000000000000000000000000000010","S",0.501047321386721
"18K","0000000000000000000000000000000010","T",0.449035657282683
"2019_K01","0000000000000000000000000000111111","S",1.43740354186311
"2019_K02","0000000000000000000000000000111111","T",1.42097643714031
"2019_K05","0000000000000000000000000000101011","T",1.50858766232854
"2019_K06","0000000000000000000000000000110011","T",1.42097643714031
"2019_K07","0000000000000000000000000000001000","S",2.61194340475565
"2019_K09","0000000000000000000000000010101110","T",0.689972152188912
"2019_K16","0000000000000000000000000000100000","T",1.53323207083847
"2019_K19","0000000000000000000000000000100011","T",1.43466944250171
"2019_K20","0000000000000000000000000000001111","S",2.46410133846338
"2019_K24","0000000000000000000000000000001010","S",2.52434155663176
"2019_K26","0000000000000000000000000010101010","T",0.460002063134155
"2019_K27","0000000000000000000000000010101011","T",0.44083710762423
"2019_K28","0000000000000000000000000000101010","T",1.52228816854141
"2019_K30","0000000000000000000000000010101010","T",0.506551152154004
"2019_K31","0000000000000000000000000010100010","J",0.506551152154004
"2019_K32","0000000000000000000000000000101010","T",1.45932322607598
"2019_K34","0000000000000000000000000000111011","S",0.484665222772758
"21K","0000000000000000000000000000000010","T",0.624258107659138
"247","0000000000000000001000000000000000","S",2.665753425
"27K","0000000000000000000000000000000010","T",0.470940338792608
"37K","0000000000000000000000000000000010","S",0.48189736857974
"40K","0000000000000000000000000000000010","S",0.531182433173853
"41K","0000000000000000000000000000000010","T",0.566774493406571
"45K","0000000000000000000000000000000010","T",0.451835391094456
"51K","0000000000000000000000000000000011","S",0.525759237559891
"55K","0000000000000000000000000000000010","T",0.449099415520192
"A01","1011101011000000000000000000000000","S",2.739726027
"A08","1010101110011010101010100000000000","T",3.742465753
"A18","1000001000000000000000000000000000","S",4.610958904
"A21","1000000000000000000000000000000000","S",4.61369863
"A23","0010000000000000000000000000000000","S",4.61369863
"A26","1001011101111001000000000000000000","S",4.665753425
"A30","1000000000000000000000000000000000","S",4.512328767
"A34","0000100000000000000000000000000000","S",4.512328767
"A35","1000000000000000000000000000000000","S",4.512328767
"A39","0010111110110000000000000000000000","S",0.745205479
"A41","0000000000000000000000001110111110","T",1.44610465757016
"A42","0000000000000000000000001001110000","S",0.704109589
"A43","0000000000000000000000000010111010","S",1.48992527186721
"A44","0000000000000000000000000000101010","S",2.4782894060219
"A45","0000000000000000000000000010000000","S",1.62739726
"A47","0000000000000000000000000010101010","S",4.715068493
"A49","0000000000000000000000000000111000","S",2.619178082
"A50","0000000000000000000000000000000010","S",1.684931507
"E01","0000000010111111111110111110000000","T",0.451797886837098
"E02","0000000010111111110011011001011011","S",0.446322185262834
"E03","0000000010100000000000000000000000","S",0.443586209688569
"E04","0000000010101010101000000000000000","T",0.501081076218344
"E05","0000000010101011001010111110101010","T",0.531197434876797
"E06","0000000010101010100000000000000000","T",0.424421254178645
"E07","0000000000100110111010101110100010","T",1.45659100092745
"E10","0000000010000000000000000000000000","T",0.531199310089665
"E13","0000000000000000000000100000000000","T",7.56476048478645
"E14","0000000011111101111011111111101010","T",0.454565741030116
"E17","0000000010000000000000000000000000","T",0.58878231262423
"E21","0000000000101011111011101100000000","T",0.487344940960986
"E23","0000000000101000000000000000000000","T",0.487344940960986
"E24","0000000000100101111000101000000000","J",0.616023927956194
"E25","0000000000101110000000010000000000","T",0.468179985451061
"E26","0000000000110011111000111101101010","S",0.490082791748118
"E27","0000000000000000000000000000110000","S",6.42848114903765
"E28","0000000000110000000000000000000000","T",0.435325776005476
"E29","0000000000101111101011111010100010","S",0.418898671282683
"E30","0000000000100000000010100000000000","S",0.629724433169062
"E31","0000000000100000000000000000000000","S",0.57496741742642
"E32","0000000000100000001000000000000000","T",0.487356192238193
"E33","0000000000000000001100000000000000","T",4.50929650379261
"E34","0000000000101111111110101110111110","S",0.432636681752909
"E35","0000000000101000000000000000000000","S",0.418947427817248
"E36","0000000000100000000000000000000000","T",0.435374532540041
"E37","0000000000101011111110111111111111","T",0.432636681752909
"E39","0000000000100101100000000000000000","T",0.544890439238193
"E40","0000000000101111111010101000000000","T",0.495609125069815
"E41","0000000000101110011010100000000000","T",0.449065661688569
"E42","0000000000101110111010111011001010","T",0.457279214049966
"E44","0000000000101111111011111111111011","T",0.435380158178645
"E46","0000000000100101111101010100000000","J",0.462758666049966
"E47","0000000000101110101010101110111011","T",0.460020815262834
"E48","0000000000101001010100000100000000","S",0.490137173921287
"E49","0000000000101010010010100000000000","S",0.495614750708419
"E52","0000000000001010000000000000000000","S",1.54421160218001
"E56","0000000000001111111110111010111111","T",1.4237517931848
"E61","0000000000001110111010111111111010","T",0.421638397282683
"E63","0000000000001011111011111111101010","T",0.479133263812457
"E65","0000000000001000000000000000000000","T",0.429853824856947
"E66","0000000000001010111011011100110111","S",0.479138889451061
"E68","0000000000000000100000000000000000","S",2.57359474160712
"E69","0000000000000010011010000001010000","T",1.44560021730869
"E70","0000000000000010111101010101010100","J",0.446284680005476
"E73","0000000000001000000000000000000000","S",0.544867936683778
"E74","0000000000001000000000000000000000","S",0.616052057149213
"E76","0000000000000011001000010101000000","T",1.43740729328884
"E77","0000000000001110000000000000000000","T",0.418926800475702
"E78","0000000000001011000000000000000000","S",0.418926800475702
"E80","0000000000001111101111111111101110","T",0.580467497767967
"E83","0000000000001000000000000000000000","T",0.446320310049966
"E85","0000000000000011100000000000000000","S",1.58800408828405
